kanji,num,meanings,radicals,kanji_in_theme_meaning,theme,subtheme
亜,1,Asia:rank next:come after:-ous,｜口,,,
哀,2,pathetic:grief:sorrow:pathos:pity:sympathize,亠口衣,sadness or pity,Emotions_and_Senses,Emotions
挨,3,approach:draw near:push open,厶矢扌,,,
愛,4,love:affection:favourite,冖夂心爪,love,Emotions_and_Senses,Emotions
曖,5,dark:not clear,冖夂心日爪,,,
悪,6,bad:vice:rascal:false:evil:wrong,｜口心,bad,Emotions_and_Senses,Judgment
握,7,grip:hold:mould sushi:bribe,厶土尸至扌,,,
圧,8,pressure:push:overwhelm:oppress:dominate,厂土,,,
扱,9,handle:entertain:thresh:strip,扌及,,,
宛,10,address:just like:fortunately,卩夕宀,,,
嵐,11,storm:tempest,山風,storm,Nature,Weather
安,12,relax:cheap:low:quiet:rested:contented:peaceful,女宀,cheap,Human_activities,Money_and_Commerce
案,13,plan:suggestion:draft:ponder:fear:proposition:idea:expectation:worry:table:bench,女宀木,,,
暗,14,darkness:disappear:shade:informal:grow dark:be blinded,日立音,dark,Nature,Weather
以,15,by means of:because:in view of:compared with,｜丶人,,,
衣,16,garment:clothes:dressing,亠,garment,Artificial_Structures_and_Products,Clothing_and_Textiles
位,17,rank:grade:throne:crown:about:some,立亻,,,
囲,18,surround:besiege:store:paling:enclosure:encircle:preserve:keep,囗井,,,
医,19,doctor:medicine,匚矢,doctor or medicine,Body,Health
依,20,reliant:depend on:consequently:therefore:due to,亠衣亻,,,
委,21,committee:entrust to:leave to:devote:discard,女禾,,,
威,22,intimidate:dignity:majesty:menace:threaten,丿厂女戈,,,
為,23,do:change:make:benefit:welfare:be of use:reach to:try:practice:cost:serve as:good:advantage:as a result of,丿灬,,,
畏,24,fear:majestic:graciously:be apprehensive,田衣,apprehension,Emotions_and_Senses,Emotions
胃,25,stomach:paunch:crop:craw,月田,stomach,Body,Torso_and_organs
尉,26,military officer:jailer:old man:rank,寸尸示,,,
異,27,uncommon:different:queerness:strangeness:wonderful:curious:unusual,八田井,,,
移,28,"shift:move:change:drift:catch (cold, fire):pass into",夕禾,,,
萎,29,wither:droop:lame,女禾艹,,,
偉,30,admirable:greatness:remarkable:conceited:famous:excellent,口韋亻,,,
椅,31,chair,亅口大木,chair,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
彙,32,same kind:collect:classify:category:hedgehog,冖彐木田彑,,,
意,33,idea:mind:heart:taste:thought:desire:care:liking,心日立音,,,
違,34,difference:differ,口韋辶,,,
維,35,fiber:tie:rope,糸隹,fibre,Artificial_Structures_and_Products,Clothing_and_Textiles
慰,36,consolation:amusement:seduce:cheer:make sport of:comfort:console,寸尸心示,,,
遺,37,bequeath:leave behind:reserve,口貝辶,,,
緯,38,horizontal:woof:left & right:(parallels of) latitude:prediction,口糸韋,,,
域,39,range:region:limits:stage:level,口土戈,,,
育,40,bring up:grow up:raise:rear,亠厶月,,,
一,41,one:one radical (no.1),,1,Numbers,
壱,42,one (in documents),冖匕士,,,
逸,43,deviate:idleness:leisure:miss the mark:evade:elude:parry:diverge,丿儿勹辶免,,,
茨,44,briar:thorn,冫欠艹,brier,Nature,Plants_and_Trees
芋,45,potato,干艹,potato,Food_and_Drink,
引,46,pull:tug:jerk:admit:install:quote:refer to,｜弓,,,
印,47,stamp:seal:mark:imprint:symbol:emblem:trademark:evidence:souvenir:India,｜卩,,,
因,48,cause:factor:be associated with:depend on:be limited to,囗大,,,
咽,49,throat:choked:smothered:stuffy,口囗大,throat,Body,Head_and_Neck
姻,50,matrimony:marry,囗大女,matrimony,People,Family
員,51,employee:member:number:the one in charge,口貝,,,
院,52,Inst.:institution:temple:mansion:school,二儿宀阝.元,,,
淫,53,lewdness:licentiousness,丿士爪玉氵,,,
陰,54,shade:yin:negative:sex organs:secret:shadow,二厶个阝.,Yin principle,Human_activities,Religion_and_the_Supernatural_World
飲,55,drink:smoke:take,欠食,,,
隠,56,conceal:hide:cover,丿彐心尚阝.,,,
韻,57,rhyme:elegance:tone,口日立貝音,,,
右,58,right,丿口,right,Directions_and_Spatial_Relationships,
宇,59,eaves:roof:house:heaven,亅宀干,universe,Nature,Sky
羽,60,"feathers:counter for birds, rabbits",冫,feather,Nature,Animals
雨,61,rain,,rain,Nature,Weather
唄,62,song:ballad,口貝,song,Human_activities,Culture
鬱,63,gloom:depression:melancholy:luxuriant,冖凵匕彡木缶,melancholy,Emotions_and_Senses,Emotions
畝,64,furrow:thirty tsubo:ridge:rib,亠田久,30 tsubo (99 m2),Numbers,Units_of_Measurement
浦,65,bay:creek:inlet:gulf:beach:seacoast,丶十用氵,beach,Nature,Land_and_Topography
運,66,carry:luck:destiny:fate:lot:transport:progress:advance,冖車辶,,,
雲,67,cloud,二厶雨,cloud,Nature,Weather
永,68,eternity:long:lengthy,丶水,eternity,Time,
泳,69,swim,丶水氵,swim,Body,Actions
英,70,England:English:hero:outstanding:calyx,丿大艹,,,
映,71,reflect:reflection:projection,丿大日,,,
栄,72,flourish:prosperity:honor:glory:splendor,冖木尚,,,
営,73,occupation:camp:perform:build:conduct (business),冖口尚,management,Human_activities,Money_and_Commerce
詠,74,recitation:poem:song:composing,丶水言,recite poetry,Human_activities,Culture
影,75,shadow:silhouette:phantom,亠口小彡日,shadow,Nature,Weather
鋭,76,pointed:sharpness:edge:weapon:sharp:violent,儿口金个丷,sharp,Physical_Attributes_and_Properties,Miscellaneous_properties
衛,77,defense:protection,口彳行韋,,,
易,78,easy:ready to:simple:fortune-telling:divination,勹日勿,,,
疫,79,epidemic,殳疒,epidemic,Body,Health
益,80,benefit:gain:profit:advantage,八皿丷,,,
液,81,fluid:liquid:juice:sap:secretion,亠夕攴亻氵,liquid,Physical_Attributes_and_Properties,Miscellaneous_properties
駅,82,station,尸馬,,,
悦,83,ecstasy:joy:rapture,儿口丷忄,ecstasy,Emotions_and_Senses,Emotions
越,84,surpass:cross over:move to:exceed:Vietnam,土戈走,to pass or go beyond,Directions_and_Spatial_Relationships,Movement
謁,85,audience:audience (with king),勹匕日言,,,
閲,86,review:inspection:revision,儿口門丷,,,
円,87,circle:yen:round,亠冂,yen,Human_activities,Money_and_Commerce
延,88,prolong:stretching,廴止,,,
沿,89,run alongside:follow along:run along:lie along,八口氵,,,
炎,90,inflammation:flame:blaze,火,blaze or flame,Nature,Weather
怨,91,grudge:show resentment:be jealous,卩夕心,resentment,Emotions_and_Senses,Emotions
宴,92,banquet:feast:party,女宀日,,,
媛,93,beautiful woman:princess,丿又女爪,princess,People,Roles_and_status
援,94,abet:help:save,丿又爪扌,,,
園,95,park:garden:yard:farm,口囗土衣,,,
煙,96,smoke,土火襾,fumes or smoke,Nature,Weather
猿,97,monkey,口土衣犭,monkey,Nature,Animals
遠,98,distant:far,口土衣辶,distant,Directions_and_Spatial_Relationships,
鉛,99,lead,八口金丷,lead,Nature,Natural_Substances
塩,100,salt,口土皿,salt,Nature,Natural_Substances
演,101,performance:act:play:render:stage,八宀田氵,,,
縁,102,affinity:relation:connection:edge:border:verge:brink,彐糸豕,edge or border,Physical_Attributes_and_Properties,Form_and_Shape
艶,103,glossy:luster:glaze:polish:charm:colorful:captivating,｜勹口日色豆丷,glossy,Physical_Attributes_and_Properties,Miscellaneous_properties
汚,104,dirty:pollute:disgrace:rape:defile,氵,dirty,Physical_Attributes_and_Properties,Miscellaneous_properties
王,105,king:rule:magnate,,king,People,Roles_and_status
凹,106,concave:hollow:sunken,凵,concave,Physical_Attributes_and_Properties,Form_and_Shape
央,107,center:middle,丿冖大,Centre,Directions_and_Spatial_Relationships,
応,108,apply:answer:yes:OK:reply:accept,广心,,,
往,109,journey:travel:chase away:let go:going:before:formerly,丶彳玉,to go to,Directions_and_Spatial_Relationships,Movement
押,110,push:stop:check:subdue:attach:seize:weight:shove:press:seal:do in spite of,｜日田扌,,,
旺,111,flourishing:successful:beautiful:vigorous,日玉,,,
欧,112,Europe,丶丿匚欠,,,
殴,113,assault:hit:beat:thrash,丶丿匚殳,"beat, assault",Human_activities,War
桜,114,cherry,女木尚,sakura,Nature,Plants_and_Trees
翁,115,venerable old man,八冫厶羽,old man,People,General
奥,116,heart:interior,冂大米,interior,Directions_and_Spatial_Relationships,
横,117,sideways:side:horizontal:width:woof:unreasonable:perverse,｜二八廾日木田黄,,,
岡,118,mount:hill:knoll,冂山丷,hill,Nature,Land_and_Topography
屋,119,roof:house:shop:dealer:seller,厶土尸至,,,
